QTR,Course,Section,Enroll Code,TITLE,UNITS,Enrolled,INSTR_1,INSTR_2,INSTR_3,Finals Type,Grading Opt,Sec Status,MAX,Seats,PRE REQ,MAJ Limit,Min Limit,Days_1,Begin_1,End_1,Room_1,Cap_1,Days_2,Begin_2,End_2,Room_2,Cap_2,Days_3,Begin_3,End_3,Room_3,Cap_3,Closed,Delay Sect,Level,Type,Extract
S13,ANTH      2  ,0100,00018,INTRO CULT ANTHRO  , 4.0      ,00000,                              ,                              ,                              ,S, ,R,00280,0280 , , , ,M W F  ,0800,0850,MUSICLLCH ,0468,       ,    ,    ,          ,0000,       ,    ,    ,          ,0000, , ,L,P,20130131
S13,ANTH      2  ,0103,00042,INTRO CULT ANTHRO  , 4.0      ,00000,                              ,                              ,                              ,S, , ,00028,0028 , , , ,M      ,1800,1850,PHELP1444 ,0035,       ,    ,    ,          ,0000,       ,    ,    ,          ,0000, , ,L,S,20130131
S13,ANTH      2  ,0104,00059,INTRO CULT ANTHRO  , 4.0      ,00000,                              ,                              ,                              ,S, , ,00028,0028 , , , ,M      ,1600,1650,387  103  ,0042,       ,    ,    ,          ,0000,       ,    ,    ,          ,0000, , ,L,S,20130131
S13,ANTH      2  ,0105,00067,INTRO CULT ANTHRO  , 4.0      ,00000,                              ,                              ,                              ,S, , ,00028,0028 , , , , T     ,1700,1750,PHELP1445 ,0035,       ,    ,    ,          ,0000,       ,    ,    ,          ,0000, , ,L,S,20130131
S13,ANTH      2  ,0106,00075,INTRO CULT ANTHRO  , 4.0      ,00000,                              ,                              ,                              ,S, , ,00028,0028 , , , , T     ,0800,0850,PHELP1445 ,0035,       ,    ,    ,          ,0000,       ,    ,    ,          ,0000, , ,L,S,20130131
S13,ANTH      2  ,0107,00083,INTRO CULT ANTHRO  , 4.0      ,00000,                              ,                              ,                              ,S, , ,00026,0026 , , , , T     ,0900,0950,HSSB 1236 ,0026,       ,    ,    ,          ,0000,       ,    ,    ,          ,0000, , ,L,S,20130131
S13,ANTH      2  ,0108,00091,INTRO CULT ANTHRO  , 4.0      ,00000,                              ,                              ,                              ,S, , ,00028,0028 , , , ,   R   ,1800,1850,PHELP3534 ,0035,       ,    ,    ,          ,0000,       ,    ,    ,          ,0000, , ,L,S,20130131
S13,ANTH      2  ,0110,00117,INTRO CULT ANTHRO  , 4.0      ,00000,                              ,                              ,                              ,S, , ,00028,0028 , , , ,  W    ,1600,1650,GIRV 2123 ,0042,       ,    ,    ,          ,0000,       ,    ,    ,          ,0000, , ,L,S,20130131
S13,ANTH      2  ,0111,00125,INTRO CULT ANTHRO  , 4.0      ,00000,                              ,                              ,                              ,S, , ,00028,0028 , , , ,  W    ,1500,1550,BSIF 1217 ,0048,       ,    ,    ,          ,0000,       ,    ,    ,          ,0000, , ,L,S,20130131
S13,ANTH      2  ,0112,00133,INTRO CULT ANTHRO  , 4.0      ,00000,                              ,                              ,                              ,S, , ,00028,0028 , , , ,M      ,1600,1650,PHELP1420 ,0030,       ,    ,    ,          ,0000,       ,    ,    ,          ,0000, , ,L,S,20130131
S13,ANTH      2  ,0113,00141,INTRO CULT ANTHRO  , 4.0      ,00000,                              ,                              ,                              ,S, , ,00028,0028 , , , ,    F  ,1400,1450,PHELP1440 ,0035,       ,    ,    ,          ,0000,       ,    ,    ,          ,0000, , ,L,S,20130131
S13,ANTH      3  ,0100,51037,INTRO ARCH         , 5.0      ,00000,SMITH S T                     ,                              ,                              ,S, ,R,00243,0243 , , , ,M W F  ,1100,1150,EMBARHALL ,0247,       ,    ,    ,          ,0000,       ,    ,    ,          ,0000, , ,L,P,20130131
S13,ANTH      3  ,0101,51045,INTRO ARCH         , 5.0      ,00000,                              ,                              ,                              ,S, , ,00027,0027 , , , , T     ,0800,0850,PHELP1444 ,0035,       ,    ,    ,          ,0000,       ,    ,    ,          ,0000, , ,L,S,20130131
S13,ANTH      3  ,0102,51052,INTRO ARCH         , 5.0      ,00000,                              ,                              ,                              ,S, , ,00027,0027 , , , ,  W    ,1800,1850,PHELP1444 ,0035,       ,    ,    ,          ,0000,       ,    ,    ,          ,0000, , ,L,S,20130131
S13,ANTH      3  ,0103,51060,INTRO ARCH         , 5.0      ,00000,                              ,                              ,                              ,S, , ,00027,0027 , , , ,   R   ,1700,1750,PHELP1445 ,0035,       ,    ,    ,          ,0000,       ,    ,    ,          ,0000, , ,L,S,20130131
S13,ANTH      3  ,0104,51078,INTRO ARCH         , 5.0      ,00000,                              ,                              ,                              ,S, , ,00027,0027 , , , , T     ,0900,0950,PHELP1445 ,0035,       ,    ,    ,          ,0000,       ,    ,    ,          ,0000, , ,L,S,20130131
S13,ANTH      3  ,0105,51086,INTRO ARCH         , 5.0      ,00000,                              ,                              ,                              ,S, , ,00027,0027 , , , ,   R   ,1800,1850,PHELP1445 ,0035,       ,    ,    ,          ,0000,       ,    ,    ,          ,0000, , ,L,S,20130131
